book_name,book_author,book_release_date,book_number_of_pages
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace/Peter V. Rabins,11/1/2006,624
The 3-Hour Diet: On the Go,Jorge Cruise,10/18/2005,192
The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch,4/27/2004,400
Specimen Days,Michael Cunningham,4/18/2006,336
A Home at the End of the World,Michael Cunningham,7/1/2004,342
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,1/11/2005,277
Blink,Ted Dekker,10/11/2004,400
Blink-182: Tales from Beneath Your Mom,Mark Hoppus/Anne Hoppus/Alex Gaskarth,10/2/2001,112
The Complete Novels,Jane Austen/Hugh  Thomson,9/3/1995,1103
The Jane Austen Book Club,Karen Joy Fowler,4/26/2005,288
Jane Austen: The Complete Novels,Jane Austen,6/1/1994,1103
Jane Austen's Letters,Jane Austen/Deirdre Le Faye,4/3/1997,672
Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,3/18/2004,249
Tea with Jane Austen,Kim Wilson/Tom Carpenter,9/3/2004,128
The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,5/1/2006,3
Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,12/5/2000,80
Flaubert's Parrot,Julian Barnes,11/27/1990,190
Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert/Francis Steegmuller,3/30/1996,230
A Sentimental Education,Gustave Flaubert/Douglas Parmée,5/18/2000,464
Three Tales,Gustave Flaubert/Roger Whitehouse/Geoffrey Wall,1/27/2005,110
Sentimental Education,Gustave Flaubert/Robert Baldick/Geoffrey Wall,2/5/2004,460
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre/Carol Cosman,1/26/1994,632
Middlesex,Jeffrey Eugenides,9/16/2003,529
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,9/26/2006,916
John Adams,David McCullough,5/22/2001,751
The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,6/1/2006,455
The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,12/30/2003,512
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,2/17/2001,288
The Portable John Adams,John  Adams/John Patrick Diggins,6/29/2004,533
Sex For Dummies,Ruth Westheimer,12/28/2000,432
Baby Signing For Dummies,Jennifer Watson,10/1/2006,257
The Feeling Good Handbook,David D. Burns,10/28/1999,729
On Death and Dying,Elisabeth Kübler-Ross,7/2/1997,288
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,6/9/1997,192
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder/Albert Lee Strickland,2/6/2004,664
Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why It's Gandhi  Not Ghandi),Mark Shepard,1/1/2002,46
The Seven Habits of Highly Effective People,Stephen R. Covey,9/15/1990,368
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,1/6/2004,192
Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,3/21/1994,384
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4/13/2006,240
Secret of the Peaceful Warrior,Dan Millman/Robert D. San Souci/T. Taylor Bruce,12/28/1992,32
It's Not about the Bike: My Journey Back to Life,Lance Armstrong/Sally Jenkins,9/1/2001,294
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,6/15/2005,344
Truman,David McCullough,6/14/1993,1120
The Complete Stories of Truman Capote,Truman Capote/Reynolds Price,9/13/2005,320
Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,1/13/1994,162
Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,10/31/2006,384
Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,9/30/2003,376
Other Voices  Other Rooms,Truman Capote,2/1/1994,232
In Cold Blood,Truman Capote/Scott Brick,1/3/2006,15
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,9/10/2002,288
Emergence: Labeled Autistic,Temple Grandin/Margaret M. Scariano,9/1/1996,200
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,2/1/2000,344
The Ghost Stories of Edith Wharton,Edith Wharton/Laszlo Kubinyi,10/10/1997,303
The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,5/12/1986,1328
Collected Stories  1911-1937,Edith Wharton/Maureen Howard,1/29/2001,848
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,4/1/1990,1137
The House of Mirth,Edith Wharton,8/6/2002,272
Below the Root,Zilpha Keatley Snyder/Alton Raible,1/1/1975,231
The Witches of Worm,Zilpha Keatley Snyder,5/1/1991,183
The Deeper Meaning of Liff,Douglas Adams/John Lloyd,4/19/2005,192
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,9/30/2005,6
The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,6/6/2000,502
The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien/Christopher Tolkien,9/1/2000,1680
The Languages of Tolkien's Middle-Earth,Ruth S. Noel/J.R.R. Tolkien,5/28/1980,207
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,6/1/2005,1438
Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,11/15/1999,127
Tandia,Bryce Courtenay,8/31/1998,905
Matthew Flinders' Cat,Bryce Courtenay,12/31/2002,611
Solomon's Song (The Potato Factory  #3),Bryce Courtenay,8/31/2001,671
An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,7/23/1981,412
Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson/Karen Swenson,12/21/2002,320
Brave Companions: Portraits in History,David McCullough,11/1/1992,240
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,5/12/1982,445
John Adams,David McCullough,5/1/2001,752
The Johnstown Flood,David McCullough,1/1/1990,302
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,6/1/2004,697
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4/1/1998,528
The Bone Collector's Son,Paul Yee,1/1/2004,137
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,6/1/2003,640
Moby Dick,Herman Melville/William Hootkins,9/1/2005,25
Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,9/12/2006,192
Moby Dick,Herman Melville/William Hootkins,6/16/2005,6
Moby-Dick,Herman Melville/Carl F. Hovde,4/1/2003,707
Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey/Duncan Wu,9/18/2003,208
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,4/16/1998,104
Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,4/30/2004,156
Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,4/3/1997,102
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,7/1/1993,164
"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,10/20/1995,400
Double Tap (Paul Madriani  #8),Steve Martini,12/27/2005,401
The List,Steve Martini,12/1/1997,451
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,7/30/2002,374
The Innocents Abroad,Mark Twain/Grover Gardner,2/11/2003,560
Teaching English Abroad,Susan  Griffith,1/1/2007,576
Theocritus: Select Poems: Select Poems,Theocritus/Kenneth James Dover,6/1/1991,395
The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod/Glenn W. Most,3/1/2007,434
Death and the King's Horseman,Wole Soyinka/Simon Gikandi,11/5/2002,254
The Time Machine,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner,3/31/2005,104
The Time Machine,H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard,7/1/2004,150
The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,10/1/1998,275
The Time Machine,H.G. Wells/Melvin Burgess,3/1/2004,123
The Complete Short Stories,H.G. Wells/John R. Hammond,5/1/2001,864
Selected Stories,H.G. Wells/Ursula K. Le Guin,7/13/2004,432
Tono-Bungay,H.G. Wells/Edward Mendelson/Patrick Parrinder,6/28/2005,414
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,9/26/2006,560
In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,10/1/1992,120
Blood Done Sign My Name: A True Story,Timothy B. Tyson,5/3/2005,368
Blindness,José Saramago/Giovanni Pontiero,10/4/1999,326
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,9/28/1994,377
All the Names,José Saramago/Margaret Jull Costa,10/5/2001,245
The Tale of the Unknown Island,José Saramago/Peter Sís/Margaret Jull Costa,10/5/2000,64
Baltasar and Blimunda,José Saramago/Giovanni Pontiero,10/16/1998,346
The Cave,José Saramago/Margaret Jull Costa,10/15/2003,307
The Stone Raft,José Saramago/Giovanni Pontiero,6/14/1996,292
The Year of the Death of Ricardo Reis,José Saramago/Giovanni Pontiero,9/17/1998,384
El hombre duplicado,José Saramago/Pilar del Río,9/1/2004,380
Ensayo sobre la lucidez,José Saramago/Pilar del Río,1/1/2005,461
La caverna,José Saramago/Pilar del Río,2/1/2003,441
The History of the Siege of Lisbon,José Saramago/Giovanni Pontiero,9/1/1998,314
Las intermitencias de la muerte,José Saramago/Pilar del Río,12/1/2005,274
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,10/6/2009,902
The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,1/1/2010,127
A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,6/27/1950,228
On the Road,Jack Kerouac,9/6/2005,320
On the Road,Jack Kerouac/Ann Charters,2/24/2000,281
De Kooning: An American Master,Mark Stevens/Annalyn Swan,4/4/2006,732
Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,9/1/2006,83
Aké: The Years of Childhood,Wole Soyinka,10/23/1989,230
Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,12/28/2004,165
The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,4/29/2004,142
Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu/Mark McNeilly,4/1/2000,272
Marketing Warfare,Al Ries/Jack Trout,12/13/2005,216
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,1/7/2002,301
Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,10/10/2001,234
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen/L.J. Ganser,1/7/2003,286
Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,12/31/2002,512
Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,1/19/1999,776
Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp,1/1/1969,364
To Kill a Mockingbird,Harper Lee,7/5/2005,323
To Kill a Mockingbird,Harper Lee/Sissy Spacek,8/22/2006,11
To Kill a Mockingbird,Harper Lee,10/17/2006,323
The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,9/20/1995,199
A Modest Proposal and Other Satirical Works,Jonathan Swift,2/2/1996,64
Gulliver's Travels / A Modest Proposal,Jonathan Swift/Jesse Gale,8/1/2005,416
Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,5/4/2004,144
The Bostonians,Henry James/R.D. Gooder,7/23/1998,504
Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James/Myra Jehlen,3/10/2003,1035
Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,2/2/2006,713
Complete Stories 1892–1898,Henry James/John Hollander/David Bromwich,1/1/1996,958
The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,1/30/2003,504
The Canterbury Tales,Geoffrey Chaucer/David  Wright,7/9/1998,465
The Canterbury Tales (original-spelling edition),Geoffrey Chaucer/Jill Mann,4/7/2005,1254
Chaucer's Canterbury Tales (Selected): An Interlinear Translation,Geoffrey Chaucer/Vincent Foster Hopper,12/31/1977,530
Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,5/23/1996,456
Love Visions,Geoffrey Chaucer/Brian Stone,5/26/1983,272
Chaucer's Canterbury Tales,Geoffrey Chaucer,1/28/1964,383
The Riverside Chaucer,Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson,12/12/1987,1327
The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,5/26/1977,611
Salt: A World History,Mark Kurlansky,1/28/2003,484
Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,11/1/2003,32
The Book of Salt,Monique Truong,6/15/2004,261
Cities of Salt (مدن الملح #1),Abdul Rahman Munif/Peter Theroux,7/17/1989,627
The Years of Rice and Salt,Kim Stanley Robinson,6/3/2003,763
Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,1/13/1969,288
Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,11/1/2006,288
Advanced Global Illumination,Philip Dutre,8/30/2006,366
Snow Falling On Cedars,David Guterson,10/21/1999,404
The Lost Boy (Dave Pelzer #2),Dave Pelzer,8/1/1997,331
Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack/Mary Pipher,5/10/1999,480
Microserfs,Douglas Coupland,1/1/2008,371
New Media Language,Jean Aitchison/Diana M. Lewis,5/22/2003,209
The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,5/8/1997,336
A People's History of the United States,Howard Zinn,8/2/2005,729
A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,7/1/2003,619
A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,8/1/2003,496
Graphic Design: A Concise History (World of Art),Richard Hollis,5/17/2002,232
Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,10/21/1996,272
The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,9/1/1995,256
The Crying of Lot 49,Thomas Pynchon,10/17/2006,152
E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,10/1/2000,337
Passionate Minds,David Bodanis,10/10/2006,373
Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein/Clyde S. Kilby,12/1/2002,303
A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,11/1/1985,307
The Rock That Is Higher: Story as Truth,Madeleine L'Engle,3/19/2002,320
The Glorious Impossible,Madeleine L'Engle/Giotto di Bondone,9/30/1990,64
A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle/Mary Chambers,3/7/2000,48
A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,1/1/1984,246
The Birth of Tragedy and Other Writings,Friedrich Nietzsche/Raymond Geuss/Ronald Speirs,4/22/1999,204
The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche/Francis Golffing,5/7/1990,320
The Birth of Tragedy,Friedrich Nietzsche,6/17/2004,84
The Birth of Tragedy,Friedrich Nietzsche/Michael Tanner/Shaun Whiteside,11/27/2003,160
Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,3/14/2008,179
The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins,Mark Twain/David Lionel Smith/Sherley Anne Williams,3/6/1997,512
The Tragedy of Pudd'nhead Wilson,Mark Twain/Michael Prichard,1/1/2003,0
Bridge to Terabithia,Katherine Paterson/Donna Diamond,7/1/2008,191
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,1/1/2002,32
Bread and Roses  Too,Katherine Paterson,9/4/2006,275
The Invisible Child,Katherine Paterson,12/31/2001,266
A Short History of Decay,Emil M. Cioran/Richard Howard,9/15/1998,186
Scholar of Decay (Ravenloft  #14),Tanya Huff,5/1/2000,313
Girl with a Pearl Earring,Tracy Chevalier,9/30/2003,233
The Golden Tulip,Rosalind Laker,9/1/1991,585
Burning Bright,Tracy Chevalier,3/20/2007,320
Falling Angels,Tracy Chevalier,9/24/2002,336
The Virgin Blue,Tracy Chevalier,6/24/2003,304
Wenn Engel fallen,Tracy Chevalier,2/1/2002,384
Tom Hunter: Living in Hell and Other Stories,Tom Hunter/Tracy Chevalier/Colin Wiggins,3/8/2006,80
Bleach  Volume 15,Tite Kubo,10/3/2006,208
Bleach  Volume 01,Tite Kubo,5/19/2004,200
Bleach  Volume 14,Tite Kubo,8/1/2006,208
Bleach  Volume 11,Tite Kubo,2/7/2006,208
Bleach  Volume 12,Tite Kubo,4/4/2006,208
DEATH NOTE デスノート 1,Tsugumi Ohba/Takeshi Obata/大場 つぐみ/小畑 健,4/2/2004,195
Death Note  Vol. 4: 恋心 (Death Note  #4),Tsugumi Ohba/Takeshi Obata,11/11/2004,204
Death Note  Vol. 3: 激走 (Death Note  #3),Tsugumi Ohba/Takeshi Obata,9/3/2004,194
Love Artist (Harlequin Romance #2860),Valerie Parv,7/24/1987,187
Perfume: The Story of a Murderer,Patrick Süskind/John E. Woods,2/13/2001,255
Das Parfum. Die Geschichte eines Mörders,Patrick Süskind,6/1/1994,321
Three Stories and a Reflection,Patrick Süskind,11/13/1997,128
The Pigeon,Patrick Süskind,6/29/1989,77
The Story of Mr Sommer,Patrick Süskind/Jean-Jacques Sempé,11/3/2003,128
Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),Tite Kubo,1/5/2002,189
Bleach  Tome 1: The Death and the Strawberry,Tite Kubo,7/2/2003,192
Escape from Fire Mountain (World of Adventure  #3),Gary Paulsen/Steve Chorney,1/1/1995,80
How Angel Peterson Got His Name,Gary Paulsen,8/10/2004,111
Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Gary Paulsen,9/9/2003,560
Chicago Blues: The City and the Music,Mike  Rowe/Ronald Radano,8/22/1981,226
Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,2/17/1995,272
Brian's Winter,Gary Paulsen,1/1/1996,133
Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe/Virginia Woolf,6/12/2001,320
Robinson Crusoe,Daniel Defoe/John J. Richetti,3/27/2003,286
Robinson Crusoe,Daniel Defoe/Michael Shinagel,12/19/1994,436
Robinson Crusoe,Daniel Defoe/Avi,7/1/2001,482
Robinson Crusoe,Daniel Defoe,7/14/2006,288
A General History of the Pyrates,Daniel Defoe/Manuel Schonhorn/Charles   Johnson,1/26/1999,733
Huck Finn & Tom Sawyer among the Indians & Other Unfinished Stories (Mark Twain Library),Mark Twain/Paul Baender/Dahlia Armon/Walter Blair,3/15/2003,389
Huck Finn and Tom Sawyer Among the Indians,Mark Twain/Lee Nelson,4/22/2003,277
Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,Mark Twain/Guy Cardwell/Louis J. Budd,8/1/2000,808
The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),Mark Twain/Guy Cardwell/John Seelye/Walter Trier,12/31/2002,327
Adventures of Huckleberry Finn,Mark Twain/E.W. Kemble,5/6/2005,368
Adventures of Huckleberry Finn,Mark Twain/George Saunders,8/14/2001,244
The Annotated Huckleberry Finn,Mark Twain/Michael Patrick Hearn/E.W. Kemble,10/17/2001,656
The Wit and Wisdom of Mark Twain,Mark Twain,12/23/1998,64
Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Mark Twain/Lin Salamo/Victor Fischer/Michael B. Frank,10/18/2004,221
The Complete Short Stories of Mark Twain,Mark Twain/Charles Neider,3/1/1984,848
The Autobiography of Mark Twain,Mark Twain/Charles Neider,11/28/2000,508
Collected Tales  Sketches  Speeches  & Essays 1891–1910,Mark Twain/Louis J. Budd,10/15/1992,1050
Lost Horizon,James Hilton,6/15/2004,241
Louisa May Alcott's Christmas Treasury,Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,6/1/2002,282
My Secret Garden: Women's Sexual Fantasies,Nancy Friday,10/28/2003,361
The Secret Garden,Frances Hodgson Burnett,9/1/1998,331
The Secret Garden,Frances Hodgson Burnett/Sandra M. Gilbert,7/1/2003,281
The Secret Garden,Martha Hailey DuBose/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober,3/1/2005,160
The Secret Garden,Frances Hodgson Burnett/Alison Lurie,1/30/2003,288
A Little Princess,Frances Hodgson Burnett/Nancy Bond,2/26/2002,242
Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Ann Thwaite,9/1/1994,274
The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Amy Cotler/Frances Hodgson Burnett/Prudence See,3/19/1999,128
Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,12/24/2003,448
Basic Economics: A Common Sense Guide to the Economy,Thomas Sowell,4/3/2007,627
Black Rednecks and White Liberals,Thomas Sowell,6/1/2005,372
Applied Economics: Thinking Beyond Stage One,Thomas Sowell,11/13/2003,256
Knowledge And Decisions,Thomas Sowell,10/4/1996,422
A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,1/3/2002,304
Sir Gawain and the Green Knight,Selina Shirley Hastings/Juan Wijngaard,6/27/1991,29
Alcoholics Anonymous,Alcoholics Anonymous,8/1/1993,250
Alcoholics Anonymous,Alcoholics Anonymous,2/10/2002,576
The Twelve Steps & Twelve Traditions of Overeaters Anonymous,Overeaters Anonymous,1/1/1993,221
The Natural Way to Draw,Kimon Nicolaides/Mamie Harmon,2/1/1990,240
Natural Health  Natural Medicine,Andrew Weil,12/9/2004,448
The Fixer,Bernard Malamud/Jonathan Safran Foer,5/5/2004,335
The Complete Stories,Bernard Malamud/Robert Giroux,10/12/1998,656
The Assistant,Bernard Malamud/Jonathan Rosen,7/7/2003,246
Conversations with Bernard Malamud (Literary Conversations),Lawrence M. Lasher,3/1/1991,184
The Tenants,Bernard Malamud/Aleksandar Hemon,9/18/2003,248
Enchanted April: Acting Edition,Matthew Barber/Elizabeth von Arnim,4/7/2004,73
April  May und June,Elizabeth von Arnim,4/1/1995,88
A Room with a View,E.M. Forster,1/1/2005,119
A Room with a View / Howards End,E.M. Forster/Benjamin DeMott,2/4/1986,449
E.M. Forster: Critical Guidebook,Lionel Trilling/E.M. Forster,1/17/1971,208
The Longest Journey,E.M. Forster/Gilbert Adair/Elizabeth Heine,7/27/2006,396
Howards End,E.M. Forster,10/29/2002,246
Maurice,E.M. Forster,12/17/2005,256
E. M. Forster: A Life,P.N. Furbank,5/2/1994,648
Howards End,E.M. Forster,9/28/2000,352
The Sixteen Pleasures,Robert Hellenga,5/1/1995,384
Revolutionary Characters: What Made the Founders Different,Gordon S. Wood,5/18/2006,336
The Rescue (Kidnapped  #3),Gordon Korman,9/1/2006,140
Hunting the Hunter (On the Run  #6),Gordon Korman,2/1/2006,151
Public Enemies (On The Run  #5),Gordon Korman,12/1/2005,150
Runaway Bride,Deborah  Gordon,9/28/1994,390
The Bridge over the Drina,Ivo Andrić/William H. McNeill,4/5/1995,314
Drina Dances in Paris,Jean Estoril,4/1/1991,194
Drina Ballerina,Jean Estoril,1/17/1991,188
Le Pont sur la Drina,Ivo Andrić/Pascale Delpech,7/5/1999,384
Drina Dances in Italy,Jean Estoril,8/31/1992,191
Drina Goes on Tour,Jean Estoril/Mabel Esther Allan,10/20/1991,188
Drina Dances in Madeira,Jean Estoril/Mabel Esther Allan,2/6/1991,164
Phaedrus/Apology/Crito/Symposium,Plato/Benjamin Jowett,1/1/2006,144
The Dialogues of Plato  Volume 1: Euthyphro  Apology  Crito  Meno  Gorgias  Menexenus,Plato/Reginald E. Allen,9/10/1989,352
Gorgias/Timaeus,Plato/Benjamin Jowett,7/15/2003,256
Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,6/28/1963,528
Aristophanes I: Clouds/Wasps/Birds,Aristophanes/Peter Meineck/Ian C. Storey,9/1/1998,480
The Trojan Women,Euripides/Gilbert Murray,1/1/2006,80
Greek Tragedies  Volume 2,David Grene/Richmond Lattimore/Aeschylus/Sophocles/Euripides,2/15/1960,304
Moloka'i (Moloka'i #1),Alan Brennert,10/4/2004,405
Teaching with the Brain in Mind,Eric Jensen,6/15/2005,186
Introducing Mind and Brain (Introducing...),Angus Gellatly/Oscar Zárate/Richard Appignanesi,5/10/2001,176
Eva Luna,Isabel Allende/Margaret Sayers Peden,8/30/2005,320
The Stories of Eva Luna,Isabel Allende,11/13/2001,352
Diez Cuentos de Eva Luna Con Guia de Comprension y Repaso de Gramatica,Isabel Allende/Richard D. Woods/Kenneth M. Taggart,12/1/1994,256
El bosque de los pigmeos,Isabel Allende,9/6/2005,304
Inés of My Soul,Isabel Allende/Margaret Sayers Peden,11/7/2006,321
La casa de los espíritus,Isabel Allende,9/18/2001,454
El plan infinito,Isabel Allende,5/14/2002,336
El reino del dragón de oro,Isabel Allende,9/7/2004,432
City of the Beasts (Eagle and Jaguar  #1),Isabel Allende/Margaret Sayers Peden,4/27/2004,408
Self,Yann Martel,4/7/2003,331
Die Brücke über die Drina,Ivo Andrić/Ernst E. Jonas,3/1/2003,407
Drina Dances in Switzerland,Jean Estoril/Jenny Sanders,8/23/1993,188
The Story of Salt,Mark Kurlansky/S.D. Schindler,9/7/2006,48
Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea,Mark Kurlansky/Dalai Lama XIV,9/12/2006,203
Boogaloo on 2nd Avenue,Mark Kurlansky,2/28/2006,319
Cod: A Biography of the Fish That Changed the World,Mark Kurlansky,7/1/1998,294
1968: The Year That Rocked the World,Mark Kurlansky,1/11/2005,480
A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,3/26/2002,456
The Basque History of the World: The Story of a Nation,Mark Kurlansky,2/1/2001,400
The Cod's Tale,Mark Kurlansky/S.D. Schindler,9/10/2001,48
Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,10/13/2000,200
Harry Potter Y La Piedra Filosofal (Harry Potter  #1),J.K. Rowling,3/6/2001,254
Angle of Repose,Wallace Stegner/Jackson J. Benson,12/1/2000,557
Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,8/28/2005,201
