book_name,book_author,book_release_date,book_number_of_pages
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,1/3/2004,773
Vineland,Thomas Pynchon,9/1/1997,385
Gravity's Rainbow,Thomas Pynchon,10/31/2006,776
Slow Learner: Early Stories,Thomas Pynchon,4/30/1985,193
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,8/29/1996,352
The Year of Magical Thinking,Joan Didion,10/4/2005,227
The White Album,Joan Didion,10/1/1990,222
A Book of Common Prayer,Joan Didion,4/11/1995,272
Where I Was From,Joan Didion,9/14/2004,240
Slouching Towards Bethlehem,Joan Didion,10/1/1990,238
Democracy,Joan Didion,4/25/1995,234
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,10/17/2006,1122
Play It As It Lays,Joan Didion/David Thomson,11/15/2005,231
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3/28/2006,308
City of Glass (The New York Trilogy  #1),Paul Auster,4/7/1987,203
Ghosts (The New York Trilogy  #2),Paul Auster,7/7/1987,96
The Locked Room (The New York Trilogy  #3),Paul Auster,11/1/1986,179
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,1/1/1995,256
The Brooklyn Follies,Paul Auster,10/17/2006,306
Moon Palace,Paul Auster,4/1/1990,320
The Music of Chance,Paul Auster,12/1/1991,217
Travels in the Scriptorium,Paul Auster,1/23/2007,145
Leviathan,Paul Auster,9/1/1993,275
The Red Notebook: True Stories,Paul Auster,6/17/2002,104
Timbuktu / Leviathan / Moon Palace,Paul Auster,11/7/2002,1075
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,12/27/2005,608
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,2/1/2006,211
Collapse of Complex Societies,Joseph A. Tainter,3/29/1990,262
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,8/7/2001,544
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,1/29/2002,272
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,9/17/1998,576
My Inventions,Nikola Tesla,5/17/2006,88
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,2/1/2001,542
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,10/1/1994,144
Tesla Papers,Nikola Tesla/David Hatcher Childress,12/1/2000,100
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,6/27/2006,249
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,10/11/2004,828
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,6/13/2000,112
Lord of the Flies,William Golding,10/11/2005,6
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,9/12/2006,397
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,1/1/1989,216
The Lovely Bones,Alice Sebold,6/1/2003,328
The Lovely Bones,Alice Sebold,4/1/2004,532
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,5/13/1990,224
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,2/17/2005,296
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,8/1/2006,456
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,5/15/2005,575
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,6/13/2006,245
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,7/2/2004,272
Vice (V  #8),Jane Feather,5/2/1996,419
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,4/25/2006,540
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4/1/2005,32
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,11/19/1990,408
Motorcycle Basics Techbook,John Harold Haynes,7/5/2002,222
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,9/1/2004,191
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4/1/2003,304
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,6/25/1998,1392
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,9/8/2006,352
Atlas Shrugged,Ayn Rand/Leonard Peikoff,8/1/1999,1168
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,12/1/1963,224
The Fountainhead,Ayn Rand,4/26/2005,752
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,11/1/1964,176
Anthem,Ayn Rand,12/1/1999,105
We the Living,Ayn Rand/Leonard Peikoff,1/1/1996,464
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,7/15/1986,340
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,2/1/1997,681
Sailing for Dummies,J.J. Isler/Peter Isler,6/1/2006,416
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,7/25/2006,368
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,9/17/2002,192
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,4/1/2004,286
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,1/1/2004,571
The Natural,Bernard Malamud/Kevin Baker,7/7/2003,231
Digging to America,Anne Tyler,5/2/2006,277
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,1/21/2004,826
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,10/7/2004,528
The Plot Against America,Philip Roth,9/27/2005,391
Naked Pictures of Famous People,Jon   Stewart,9/22/1999,164
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,5/13/2008,352
Crónica de una muerte anunciada,Gabriel García Márquez,10/14/2003,118
Cien años de soledad,Gabriel García Márquez,2/7/2006,496
Del amor y otros demonios,Gabriel García Márquez,2/7/2006,176
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,10/12/2004,533
Memoria de mis putas tristes,Gabriel García Márquez,10/19/2004,112
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,9/2/2004,425
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,5/15/2005,288
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,4/1/2006,363
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,9/1/2004,128
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,5/1/2006,480
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,9/1/2001,295
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,4/4/2006,287
Cryptonomicon,Neal Stephenson,11/1/2002,1139
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,3/31/2001,418
The Confusion (The Baroque Cycle  #2),Neal Stephenson,6/14/2005,815
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,9/21/2004,927
The Cobweb,Neal Stephenson/J. Frederick George,5/31/2005,448
The Big U,Neal Stephenson,2/6/2001,308
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,5/2/2000,499
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,5/31/2005,640
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,3/28/2006,464
Snow Crash,Neal Stephenson/Guy Abadia,8/2/2000,438
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,6/1/2005,450
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,12/1/2004,381
The Design of Everyday Things,Donald A. Norman,9/19/2002,240
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,5/11/2005,272
The Psychology of Everyday Things,Donald A. Norman,6/13/1988,257
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4/30/2006,259
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,5/2/2006,192
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,5/1/1993,197
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,9/19/2006,192
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,9/13/2005,192
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,7/18/2006,192
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,5/3/2005,192
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,11/8/2005,200
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,11/1/1998,198
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,7/5/2005,192
Pompeii,Robert   Harris,11/8/2005,274
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,12/3/2002,360
Of Mice and Men,John Steinbeck,1/8/2002,103
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,9/6/2005,464
The Westing Game,Ellen Raskin,4/12/2004,182
The Egypt Game,Zilpha Keatley Snyder,7/7/2009,215
Memoirs of a Geisha,Arthur Golden,11/22/2005,503
Memoirs of a Geisha,Arthur Golden,11/15/2005,434
Memoirs of a Geisha,Arthur Golden,12/1/2005,497
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,10/20/2005,144
Memoirs of a Geisha,Arthur Golden,6/4/1998,497
Geisha of Gion,Mineko Iwasaki/Rande Brown,5/6/2003,334
Love As A Foreign Language #5,J. Torres/Eric  Kim,2/1/2006,58
Jungle Love,Margaret Johnson/Philip Prowse,8/1/2002,95
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,1/1/2005,0
Angels & Demons (Robert Langdon  #1),Dan Brown,4/1/2006,736
Ángeles y demonios (Robert Langdon  #1),Dan Brown,12/1/2005,508
Angeles & Demonios,Dan Brown/Raúl Amundaray,12/1/2005,18
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3/28/2006,489
The Da Vinci Code,Dan Brown,3/28/2006,467
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,5/3/2005,744
Deception Point,Dan Brown,4/1/2006,736
Deception Point,Dan Brown,5/1/2004,585
Deception Point,Dan Brown,8/1/2005,448
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,2/1/2005,383
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,10/1/1998,258
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,9/1/2005,320
Think and Grow Rich,Napoleon Hill,8/7/2004,368
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,6/7/2006,256
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,6/1/2005,288
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,12/28/2004,384
The Richest Man in Babylon,George S. Clason,2/1/2008,194
The Richest Man in Babylon,George S. Clason,6/17/2005,4
Shibumi,Trevanian/Gisela Stege,5/10/2005,480
1776,David McCullough,7/4/2006,386
1776,Peter  Stone/Sherman Edwards,11/18/1976,192
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,7/15/2000,284
The Good Earth (House of Earth  #1),Pearl S. Buck,3/4/2009,418
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3/15/2005,5
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,7/5/2005,399
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,4/4/2002,384
Snow Flower and the Secret Fan,Lisa See,2/21/2006,269
The Broker,John Grisham,9/26/2006,422
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,7/12/1975,1344
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,7/25/2006,320
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,6/10/1999,201
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,4/1/2005,288
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,11/26/2003,405
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,10/1/2005,245
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4/18/2003,432
